ORF,Protein Molecules/Cell
YCL044C,NA
YCL045C,448
YCL050C,1034
YCL052C,80
YCL055W,77
YCL056C,NA
YCL057W,294
YCL059C,NA
YCL061C,70
YCL064C,111
YCR002C,328
YCR003W,262
YCR004C,562
YCR005C,NA
YCR009C,579
YCR011C,258
YCR012W,15100
YCR016W,227
YCR017C,111
YCR018C,NA
YCR018C-A,731
YCR020C,NA
YCR020W-B,338
YCR021C,NA
YCR023C,90
YCR024C,NA
YCR024C-A,3895
YCR027C,132
YCR028C,146
YCR028C-A,457
YCR030C,160
YCR033W,78
YCR034W,1239
YCR035C,199
YCR036W,109
YCR037C,NA
YCR038C,NA
YCR042C,NA
YCR043C,341
YCR044C,133
YCR046C,161
YCR047C,NA
YCR048W,39
YCR051W,169
YCR053W,4139
YCR054C,95
YCR057C,341
YCR059C,204
YCR060W,134
YCR061W,NA
YCR063W,278
YCR065W,NA
YCR067C,113
YCR069W,57
YCR071C,130
YCR073W-A,NA
YCR077C,219
YCR079W,NA
YCR081W,NA
YCR082W,47
YCR083W,NA
YCR084C,369
YCR086W,42
YCR087C-A,112
YCR088W,687
YCR090C,128
YCR092C,65
YCR093W,436
YCR094W,108
YCR095C,56
YDL001W,128
YDL002C,48
YDL003W,48
YDL005C,120
YDL008W,127
YDL010W,79
YDL012C,72
YDL015C,255
YDL017W,42
YDL018C,247
YDL019C,154
YDL020C,NA
YDL021W,NA
YDL022W,NA
YDL025C,206
YDL027C,NA
YDL028C,NA
YDL029W,41
YDL030W,43
YDL033C,NA
YDL036C,NA
YDL040C,462
YDL042C,69
YDL043C,61
YDL044C,49
YDL045C,NA
YDL045W-A,NA
YDL046W,52
YDL047W,NA
YDL048C,NA
YDL051W,574
YDL052C,715
YDL053C,243
YDL054C,325
YDL055C,7777
YDL056W,53
YDL058W,141
YDL059C,NA
YDL060W,268
YDL061C,1483
YDL063C,193
YDL064W,309
YDL065C,110
YDL066W,725
YDL067C,NA
YDL070W,48
YDL072C,535
YDL074C,75
YDL076C,124
YDL077C,47
YDL078C,221
YDL080C,NA
YDL081C,8611
YDL083C,NA
YDL084W,NA
YDL085C-A,328
YDL087C,82
YDL088C,226
YDL089W,NA
YDL090C,60
