ORF,Protein Molecules/Cell
YGR275W,140
YGR277C,89
YGR278W,44
YGR279C,199
YGR280C,253
YGR281W,176
YGR282C,NA
YGR283C,45
YGR284C,616
YGR285C,2516
YGR286C,NA
YGR295C,139
YHL001W,2612
YHL002W,111
YHL003C,420
YHL004W,107
YHL007C,294
YHL008C,59
YHL009C,55
YHL011C,538
YHL013C,123
YHL014C,NA
YHL017W,66
YHL018W,NA
YHL019C,39
YHL020C,74
YHL021C,175
YHL025W,NA
YHL026C,NA
YHL027W,62
YHL028W,NA
YHL029C,183
YHL030W,148
YHL032C,NA
YHL033C,12680
YHL034C,1590
YHL036W,62
YHL038C,52
YHL039W,142
YHL040C,NA
YHL048W,NA
YHR001W-A,70
YHR003C,74
YHR004C,NA
YHR005C,NA
YHR006W,NA
YHR007C,749
YHR008C,366
YHR009C,77
YHR010W,123
YHR011W,NA
YHR012W,NA
YHR013C,237
YHR015W,NA
YHR018C,2772
YHR021C,2487
YHR023W,116
YHR024C,394
YHR025W,854
YHR026W,NA
YHR027C,491
YHR030C,142
YHR031C,NA
YHR034C,NA
YHR036W,NA
YHR037W,398
YHR038W,NA
YHR039C,259
YHR039C-A,1505
YHR040W,NA
YHR041C,NA
YHR042W,377
YHR043C,44
YHR045W,88
YHR046C,164
YHR047C,893
YHR049W,483
YHR051W,456
YHR052W,573
YHR053C,115
YHR055C,108
YHR057C,NA
YHR058C,194
YHR059W,77
YHR060W,65
YHR061C,NA
YHR062C,NA
YHR063C,43
YHR064C,1695
YHR066W,242
YHR067W,NA
YHR068W,660
YHR069C,220
YHR070W,229
YHR072W,172
YHR072W-A,760
YHR073W,132
YHR074W,46
YHR077C,NA
YHR079C,55
YHR082C,174
YHR083W,NA
YHR084W,103
YHR085W,87
YHR086W,127
YHR087W,112
YHR089C,1674
YHR090C,84
YHR097C,NA
YHR098C,346
YHR101C,63
YHR102W,122
YHR103W,49
YHR104W,197
YHR105W,64
YHR106W,NA
YHR107C,NA
YHR108W,483
YHR110W,64
YHR111W,159
YHR112C,NA
YHR113W,NA
YHR114W,146
YHR115C,NA
YHR116W,87
YHR117W,224
YHR118C,41
YHR119W,57
YHR120W,56
YHR121W,77
YHR122W,166
YHR123W,122
YHR127W,114
YHR129C,NA
YHR131C,44
YHR132C,46
YHR132W-A,222
YHR133C,228
YHR135C,227
YHR136C,205
YHR137W,179
YHR138C,NA
YHR140W,NA
YHR141C,NA
YHR142W,165
YHR143W-A,597
YHR144C,53
YHR146W,506
YHR147C,74
YHR149C,89
YHR152W,41
YHR154W,91
YHR155W,NA
YHR156C,NA
YHR158C,171
YHR159W,NA
YHR161C,112
YHR162W,373
YHR163W,435
YHR164C,NA
YHR165C,120
YHR166C,45
YHR167W,89
YHR169W,202
YHR170W,474
YHR172W,64
YHR174W,NA
YHR175W,105
YHR178W,NA
YHR179W,1243
YHR181W,188
YHR182W,NA
YHR183W,15768
YHR186C,73
YHR187W,152
YHR189W,NA
YHR190W,NA
YHR192W,119
YHR193C,3571
YHR194W,NA
YHR195W,91
YHR196W,407
YHR197W,194
YHR198C,NA
YHR199C,NA
YHR200W,129
YHR201C,247
YHR202W,NA
YHR203C,3811
YHR204W,NA
YHR205W,128
YHR206W,58
YHR207C,128
YHR215W,NA
YHR216W,275
YIL001W,NA
YIL002C,61
YIL004C,NA
YIL005W,79
YIL007C,56
YIL008W,160
YIL009W,98
YIL010W,41
YIL015W,116
YIL016W,396
YIL017C,NA
YIL019W,NA
YIL020C,NA
YIL021W,341
YIL022W,755
YIL026C,NA
YIL027C,389
YIL030C,118
YIL031W,NA
YIL033C,266
YIL034C,NA
YIL035C,462
YIL036W,88
YIL037C,NA
YIL038C,304
YIL039W,NA
YIL040W,171
YIL041W,583
YIL042C,NA
YIL043C,158
YIL044C,NA
YIL045W,NA
YIL046W,NA
YIL047C,192
YIL048W,193
YIL050W,50
YIL051C,53
YIL052C,1806
YIL053W,14626
YIL055C,NA
YIL056W,100
YIL057C,NA
YIL061C,50
YIL062C,696
YIL063C,65
YIL064W,NA
YIL065C,110
YIL066C,NA
YIL067C,NA
YIL068C,95
YIL069C,1967
YIL070C,213
YIL071C,NA
YIL074C,659
YIL075C,825
YIL076W,664
YIL077C,NA
YIL078W,2139
YIL079C,NA
YIL083C,77
YIL084C,57
YIL087C,NA
YIL088C,109
YIL090W,280
YIL091C,181
YIL092W,NA
YIL093C,196
YIL094C,451
YIL095W,85
YIL096C,NA
YIL097W,NA
YIL098C,NA
YIL101C,NA
YIL103W,101
YIL104C,106
YIL105C,87
YIL106W,122
YIL107C,NA
YIL108W,65
YIL109C,526
YIL110W,NA
YIL111W,NA
YIL112W,98
YIL113W,102
YIL114C,NA
YIL115C,312
YIL116W,NA
YIL117C,161
YIL119C,NA
YIL121W,272
YIL122W,NA
YIL123W,NA
YIL125W,427
YIL126W,385
YIL127C,168
YIL128W,191
YIL129C,NA
YIL130W,155
YIL131C,NA
YIL132C,NA
YIL133C,100
YIL135C,78
YIL136W,48
YIL137C,88
YIL138C,450
YIL140W,100
YIL143C,84
YIL144W,56
YIL145C,283
YIL147C,57
YIL148W,634
YIL149C,60
YIL150C,NA
YIL151C,NA
YIL153W,73
YIL154C,NA
YIL155C,NA
YIL156W,51
YIL157C,81
YIL158W,61
YIL159W,54
YIL160C,NA
YIL161W,91
YIL172C,NA
YIL173W,41
YIR001C,40
YIR002C,61
YIR003W,113
YIR004W,229
YIR005W,114
YIR006C,591
YIR007W,NA
YIR009W,NA
YIR010W,43
YIR011C,NA
YIR012W,535
YIR014W,67
YIR015W,57
YIR017C,NA
YIR018W,NA
YIR021W,NA
YIR022W,201
YIR023W,114
YIR024C,NA
YIR026C,120
YIR034C,12318
YIR035C,47
YIR036C,44
YIR037W,139
YIR038C,NA
YJL001W,NA
YJL002C,783
YJL004C,118
YJL005W,NA
YJL010C,271
YJL011C,159
YJL012C-A,79
YJL013C,NA
YJL016W,NA
YJL017W,NA
YJL018W,72
YJL021C,200
YJL024C,244
YJL025W,NA
YJL026W,140
YJL029C,108
YJL030W,45
YJL033W,283
YJL034W,NA
YJL035C,NA
YJL036W,66
YJL039C,189
YJL041W,NA
YJL042W,167
YJL043W,NA
YJL044C,101
YJL047C,47
YJL048C,NA
YJL050W,103
YJL052W,45
YJL053W,140
YJL054W,137
YJL055W,333
YJL056C,NA
YJL057C,NA
YJL058C,NA
YJL060W,144
YJL061W,274
YJL062W,118
YJL062W-A,58
YJL063C,172
YJL065C,149
YJL066C,41
YJL068C,NA
YJL069C,297
YJL070C,47
YJL071W,55
YJL074C,121
YJL076W,365
YJL078C,332
YJL079C,84
YJL080C,2060
YJL081C,NA
YJL082W,182
YJL084C,95
YJL085W,112
YJL087C,124
YJL088W,2319
YJL090C,NA
YJL091C,190
YJL092W,54
YJL095W,46
YJL096W,87
YJL097W,517
YJL098W,192
YJL099W,NA
YJL101C,129
YJL102W,NA
YJL104W,463
YJL107C,NA
YJL109C,630
YJL110C,NA
YJL112W,72
YJL115W,276
YJL117W,507
YJL121C,116
YJL122W,446
YJL123C,295
YJL124C,313
YJL125C,NA
YJL127C,NA
YJL128C,177
YJL130C,3699
YJL131C,NA
YJL133W,NA
YJL136C,5282
YJL137C,NA
YJL138C,3494
YJL140W,198
YJL143W,581
YJL144W,NA
YJL145W,124
YJL146W,89
YJL147C,NA
YJL148W,529
YJL151C,731
YJL153C,81
YJL154C,236
YJL155C,NA
YJL157C,NA
YJL158C,NA
YJL161W,NA
YJL162C,NA
YJL164C,NA
YJL166W,107
YJL168C,99
YJL169W,416
YJL171C,305
YJL173C,286
YJL176C,88
YJL177W,2211
YJL178C,223
YJL179W,82
YJL180C,40
YJL183W,NA
YJL186W,90
YJL190C,1697
YJL191W,603
YJL192C,431
YJL194W,NA
YJL196C,918
YJL197W,239
YJL198W,133
YJL200C,5108
YJL201W,213
YJL203W,80
YJL204C,106
YJL207C,165
YJL208C,NA
YJL209W,NA
YJL210W,NA
YJL212C,NA
YJL217W,105
YJL222W,NA
YJR003C,133
YJR005W,123
YJR006W,68
YJR007W,1980
YJR008W,NA
YJR009C,11797
YJR010C-A,195
YJR010W,NA
YJR011C,42
YJR013W,177
YJR014W,467
YJR015W,NA
YJR016C,NA
YJR017C,203
YJR022W,57
YJR024C,NA
YJR025C,266
YJR031C,104
YJR032W,117
YJR033C,72
YJR035W,44
YJR041C,192
YJR042W,243
YJR043C,NA
YJR044C,97
YJR046W,60
YJR047C,NA
YJR048W,128
YJR049C,100
YJR050W,50
YJR051W,NA
YJR052W,NA
YJR053W,NA
YJR054W,NA
YJR055W,43
YJR056C,NA
YJR057W,80
YJR058C,NA
YJR059W,198
YJR060W,163
YJR062C,53
YJR063W,930
YJR067C,120
YJR068W,104
YJR069C,374
YJR070C,1128
YJR072C,258
YJR073C,835
YJR074W,61
YJR075W,109
YJR076C,236
YJR077C,627
YJR080C,58
YJR082C,67
YJR083C,105
YJR084W,NA
YJR085C,67
YJR086W,NA
YJR088C,388
YJR089W,NA
YJR091C,143
YJR092W,108
YJR094W-A,1810
YJR096W,NA
YJR097W,151
YJR098C,NA
YJR101W,114
YJR103W,NA
YJR104C,3893
YJR105W,2243
YJR109C,18876
YJR110W,42
YJR111C,85
YJR112W,96
YJR113C,160
YJR116W,88
YJR117W,588
YJR118C,NA
YJR119C,42
YJR121W,1810
YJR122W,NA
YJR127C,49
YJR129C,NA
YJR130C,392
YJR131W,64
YJR132W,111
YJR133W,60
YJR134C,75
YJR135C,47
YJR136C,NA
YJR137C,135
YJR138W,90
YJR139C,593
YJR140C,69
YJR143C,NA
YJR145C,4215
YJR146W,NA
YJR147W,70
YJR148W,3093
YJR149W,NA
YJR154W,NA
YJR161C,NA
YKL001C,NA
YKL002W,106
YKL003C,NA
YKL004W,354
YKL006C-A,NA
YKL006W,2928
YKL007W,374
YKL008C,222
YKL009W,665
YKL010C,204
YKL011C,NA
YKL012W,40
YKL013C,NA
YKL014C,313
YKL015W,89
YKL016C,122
YKL017C,NA
YKL018C-A,NA
YKL019W,NA
YKL020C,NA
YKL021C,224
YKL022C,76
YKL023W,152
YKL024C,371
YKL025C,102
YKL026C,NA
YKL027W,221
YKL028W,171
YKL029C,987
YKL032C,NA
YKL033W,57
YKL035W,515
YKL038W,49
YKL040C,279
YKL041W,NA
YKL042W,NA
YKL043W,NA
YKL046C,262
YKL047W,NA
YKL048C,49
YKL049C,NA
YKL051W,354
YKL052C,69
YKL053C-A,90
YKL054C,3438
YKL055C,NA
YKL056C,3807
YKL058W,NA
YKL059C,69
YKL060C,NA
YKL061W,108
YKL063C,73
YKL064W,57
YKL065C,NA
YKL067W,502
YKL068W,242
YKL069W,190
YKL071W,5323
YKL072W,41
YKL073W,NA
YKL074C,NA
YKL075C,54
YKL077W,344
YKL078W,NA
YKL079W,80
YKL080W,983
YKL081W,3862
YKL085W,235
YKL086W,60
YKL088W,185
YKL089W,NA
YKL091C,NA
YKL092C,102
YKL094W,225
YKL095W,58
YKL096W,126
YKL096W-A,2022
YKL101W,NA
YKL102C,82
YKL103C,250
YKL105C,65
YKL106W,119
YKL108W,NA
YKL110C,116
YKL112W,393
YKL113C,92
YKL114C,52
YKL116C,NA
YKL117W,1590
YKL119C,61
YKL120W,1566
YKL122C,232
YKL125W,NA
YKL126W,219
YKL127W,176
YKL128C,407
YKL129C,203
YKL130C,167
YKL134C,63
YKL135C,191
YKL138C,161
YKL139W,132
YKL140W,NA
YKL142W,310
YKL143W,232
YKL145W,NA
YKL146W,49
YKL149C,NA
YKL150W,NA
YKL151C,NA
YKL152C,14302
YKL154W,NA
YKL155C,92
YKL156W,3325
YKL157W,344
YKL160W,327
YKL162C,NA
YKL164C,140
YKL165C,150
YKL166C,139
YKL167C,207
YKL168C,NA
YKL169C,107
YKL170W,617
YKL173W,175
YKL175W,NA
YKL176C,NA
YKL179C,52
YKL180W,NA
YKL181W,223
YKL182W,4562
YKL183W,95
YKL184W,NA
YKL185W,NA
YKL186C,NA
YKL187C,NA
YKL189W,NA
YKL190W,337
YKL191W,170
YKL192C,862
YKL193C,167
YKL194C,NA
YKL195W,83
YKL197C,120
YKL204W,216
YKL205W,188
YKL206C,152
YKL208W,NA
YKL209C,347
YKL210W,1815
YKL211C,1614
YKL212W,761
YKL213C,106
YKL214C,NA
YKL215C,246
YKL216W,1124
YKL222C,NA
YKR001C,579
YKR002W,120
YKR003W,77
YKR006C,410
YKR007W,317
YKR008W,NA
YKR010C,48
YKR011C,NA
YKR013W,NA
YKR014C,525
YKR016W,NA
YKR018C,321
YKR020W,NA
YKR021W,77
YKR022C,NA
YKR023W,48
YKR024C,198
YKR025W,227
YKR026C,175
YKR027W,72
YKR029C,72
YKR031C,112
YKR035W-A,NA
YKR036C,71
YKR037C,68
YKR038C,178
YKR039W,NA
YKR041W,NA
YKR042W,NA
YKR043C,606
YKR044W,40
YKR045C,53
YKR046C,137
YKR048C,432
YKR049C,NA
YKR052C,82
YKR054C,77
YKR055W,NA
YKR057W,3472
YKR059W,1945
YKR060W,216
YKR062W,136
YKR063C,NA
YKR064W,NA
YKR065C,216
YKR066C,117
YKR067W,225
YKR068C,165
YKR070W,NA
YKR071C,242
YKR072C,240
YKR074W,117
YKR075C,NA
YKR076W,NA
YKR077W,NA
YKR078W,NA
YKR079C,100
YKR080W,1020
YKR082W,388
YKR083C,65
YKR084C,150
YKR085C,111
YKR086W,NA
YKR087C,NA
YKR088C,228
YKR089C,103
YKR090W,81
YKR092C,495
YKR093W,239
YKR094C,404
YKR095W,141
YKR096W,84
YKR099W,56
YKR100C,156
YKR103W,68
YLL001W,51
YLL002W,NA
YLL003W,NA
YLL006W,NA
YLL007C,NA
YLL008W,277
YLL009C,1171
YLL010C,NA
YLL011W,383
YLL012W,174
YLL013C,183
YLL014W,40
YLL015W,111
YLL018C,1644
YLL018C-A,177
YLL022C,99
YLL023C,156
YLL024C,19107
YLL026W,923
YLL027W,228
YLL028W,516
YLL029W,368
YLL031C,202
YLL032C,77
YLL034C,160
YLL036C,136
YLL038C,156
YLL039C,123
YLL040C,152
YLL041C,254
YLL043W,142
YLL045C,NA
YLL048C,335
YLL051C,39
YLL052C,NA
YLL054C,NA
YLL055W,NA
YLL060C,NA
YLL061W,NA
YLL062C,NA
YLR001C,125
YLR002C,249
YLR003C,NA
YLR005W,NA
YLR006C,88
YLR011W,95
YLR015W,NA
YLR016C,43
YLR017W,127
YLR018C,196
YLR020C,79
YLR022C,198
YLR023C,NA
YLR024C,NA
YLR025W,NA
YLR028C,476
YLR032W,NA
YLR033W,191
YLR034C,123
YLR035C,NA
YLR035C-A,NA
YLR036C,NA
YLR038C,41
YLR039C,94
YLR042C,NA
YLR043C,993
YLR044C,NA
YLR045C,154
YLR048W,4413
YLR050C,60
YLR051C,NA
YLR052W,181
YLR055C,53
YLR056W,571
YLR058C,5684
YLR059C,336
YLR060W,1224
YLR061W,NA
YLR063W,70
YLR064W,569
YLR065C,NA
YLR066W,116
YLR067C,NA
YLR068W,122
YLR069C,1810
YLR071C,149
YLR072W,NA
YLR073C,112
YLR074C,331
YLR075W,5347
YLR079W,54
YLR080W,NA
YLR082C,NA
YLR083C,491
YLR084C,279
YLR085C,NA
YLR086W,97
YLR088W,NA
YLR090W,53
YLR091W,NA
YLR093C,49
YLR094C,NA
YLR095C,97
YLR096W,69
YLR098C,NA
YLR100W,300
YLR102C,NA
YLR103C,NA
YLR105C,NA
YLR106C,99
YLR107W,NA
YLR108C,149
YLR109W,18767
YLR110C,1031
YLR113W,282
YLR114C,189
YLR115W,90
YLR116W,145
YLR117C,41
YLR118C,90
YLR120C,NA
YLR121C,NA
YLR126C,45
YLR127C,NA
YLR129W,85
YLR130C,57
YLR131C,40
YLR132C,93
YLR133W,195
YLR134W,NA
YLR135W,NA
YLR136C,NA
YLR138W,116
YLR139C,NA
YLR141W,NA
YLR142W,589
YLR143W,86
YLR144C,67
YLR145W,NA
YLR146C,100
YLR148W,112
YLR149C,NA
YLR150W,5485
YLR153C,2978
YLR154C,NA
YLR163C,151
YLR166C,168
YLR168C,126
YLR172C,451
YLR175W,1112
YLR176C,NA
YLR177W,NA
YLR178C,NA
YLR179C,845
YLR180W,3854
YLR181C,102
YLR182W,63
YLR183C,NA
YLR185W,3509
YLR186W,NA
YLR187W,134
YLR188W,NA
YLR189C,76
YLR190W,41
YLR191W,56
YLR192C,NA
YLR193C,77
YLR194C,95
YLR195C,NA
YLR196W,786
YLR197W,1245
YLR199C,NA
YLR200W,161
YLR201C,50
YLR203C,192
YLR204W,NA
YLR206W,143
YLR208W,696
YLR210W,NA
YLR211C,NA
YLR212C,639
YLR215C,50
YLR216C,645
YLR218C,64
YLR219W,105
YLR220W,NA
YLR221C,449
YLR222C,369
YLR223C,144
YLR225C,79
YLR226W,98
YLR228C,NA
YLR231C,NA
YLR234W,NA
YLR237W,51
YLR239C,NA
YLR240W,53
YLR244C,514
YLR245C,164
YLR247C,NA
YLR248W,173
YLR249W,14424
YLR250W,224
YLR253W,74
YLR254C,59
YLR257W,1581
YLR258W,108
YLR259C,NA
YLR260W,NA
YLR262C,NA
YLR262C-A,610
YLR263W,NA
YLR264W,307
YLR265C,NA
YLR266C,NA
YLR268W,91
YLR270W,96
YLR271W,NA
YLR272C,83
YLR275W,NA
YLR277C,106
YLR281C,NA
YLR283W,NA
YLR285W,321
YLR286C,NA
YLR287C,202
YLR287C-A,NA
YLR289W,NA
YLR290C,60
YLR291C,294
YLR292C,400
YLR295C,870
YLR297W,NA
YLR298C,53
YLR299W,NA
YLR300W,NA
YLR301W,581
YLR309C,131
YLR310C,93
YLR312W-A,216
YLR313C,NA
YLR315W,66
YLR316C,NA
YLR319C,89
YLR321C,225
YLR323C,45
YLR324W,61
YLR325C,1662
YLR326W,64
YLR327C,NA
YLR328W,167
YLR330W,396
YLR332W,558
YLR333C,2425
YLR335W,328
YLR336C,165
YLR337C,112
YLR342W,106
YLR343W,NA
YLR344W,3977
YLR345W,53
YLR346C,NA
YLR347C,1072
YLR348C,NA
YLR350W,132
YLR351C,250
YLR353W,NA
YLR354C,1750
YLR356W,NA
YLR357W,134
YLR360W,NA
YLR362W,65
YLR363C,282
YLR363W-A,378
YLR364W,NA
YLR367W,2176
YLR369W,104
YLR370C,546
YLR371W,45
YLR372W,1827
YLR373C,110
YLR375W,NA
YLR376C,NA
YLR378C,NA
YLR380W,372
YLR381W,NA
YLR382C,NA
YLR383W,74
YLR384C,401
YLR385C,NA
YLR386W,127
YLR387C,306
YLR388W,463
YLR390W,70
YLR390W-A,552
YLR392C,NA
YLR393W,NA
YLR395C,50
YLR396C,100
YLR397C,116
YLR398C,327
YLR399C,506
YLR401C,51
YLR403W,134
YLR404W,NA
YLR405W,NA
YLR406C,NA
YLR407W,178
YLR408C,NA
YLR409C,NA
YLR410W,411
YLR412W,95
YLR413W,1150
YLR414C,429
YLR417W,NA
YLR418C,215
YLR420W,266
YLR421C,289
YLR422W,81
YLR423C,NA
YLR424W,41
YLR426W,NA
YLR427W,60
YLR429W,375
YLR430W,107
YLR432W,1659
YLR433C,184
YLR435W,330
YLR436C,113
YLR438C-A,517
YLR438W,361
YLR439W,105
YLR440C,111
YLR441C,NA
YLR442C,74
YLR447C,NA
YLR448W,2462
YLR449W,463
YLR450W,163
YLR451W,47
YLR452C,133
YLR453C,NA
YLR454W,86
YLR455W,189
YLR457C,NA
YML001W,368
YML004C,NA
YML005W,68
YML006C,44
YML007C-A,330
YML007W,65
YML008C,1377
YML009C,90
YML010W,741
YML011C,NA
YML012W,912
YML013W,158
YML014W,66
YML016C,177
YML017W,197
YML018C,537
YML020W,NA
YML021C,NA
YML022W,499
YML023C,NA
YML024W,307
YML025C,118
YML026C,488
YML027W,NA
YML028W,7420
YML029W,41
YML030W,54
YML031W,273
YML032C,68
YML034W,51
YML035C,233
YML037C,NA
YML038C,196
YML041C,55
YML043C,NA
YML046W,58
YML048W,77
YML049C,664
YML051W,NA
YML052W,NA
YML053C,NA
YML055W,NA
YML056C,397
YML057W,191
YML058W,1781
YML058W-A,78
YML059C,105
YML060W,NA
YML062C,120
YML063W,6489
YML064C,54
YML067C,386
YML069W,528
YML070W,305
YML071C,118
YML072C,487
YML073C,2146
YML074C,450
YML075C,320
YML076C,95
YML078W,NA
YML079W,55
YML080W,96
YML081C-A,NA
YML081W,60
YML082W,148
YML085C,172
YML086C,533
YML088W,NA
YML091C,89
YML092C,1360
YML093W,284
YML094W,151
YML095C,NA
YML096W,52
YML097C,126
YML098W,NA
YML099C,NA
YML100W,141
YML101C,167
YML102W,130
YML103C,328
YML104C,39
YML105C,NA
YML106W,763
YML107C,NA
YML108W,119
YML109W,58
YML110C,NA
YML111W,58
YML112W,105
YML113W,148
YML114C,63
YML115C,56
YML116W,598
YML117W,NA
YML120C,382
YML121W,227
YML124C,226
YML125C,367
YML126C,1101
YML127W,219
YML128C,NA
YML129C,158
YML131W,NA
YML132W,NA
YMR001C,NA
YMR002W,1010
YMR003W,50
YMR004W,141
YMR009W,79
YMR010W,182
YMR011W,852
YMR012W,1124
YMR014W,191
YMR015C,549
YMR016C,160
YMR019W,48
YMR021C,NA
YMR022W,NA
YMR023C,NA
YMR024W,NA
YMR026C,64
YMR027W,439
YMR029C,80
YMR030W,NA
YMR031C,206
YMR032W,NA
YMR036C,NA
YMR037C,114
YMR038C,694
YMR039C,148
YMR042W,55
YMR043W,142
YMR044W,43
YMR047C,51
YMR048W,NA
YMR049C,NA
YMR052W,68
YMR054W,66
YMR055C,NA
YMR056C,43
YMR058W,1109
YMR059W,40
YMR060C,NA
YMR061W,69
YMR062C,2050
YMR064W,NA
YMR066W,NA
YMR067C,67
YMR069W,44
YMR070W,96
YMR071C,431
YMR072W,860
YMR073C,NA
YMR074C,207
YMR075W,NA
YMR076C,127
YMR077C,NA
YMR078C,NA
YMR079W,1252
YMR080C,375
YMR083W,133
YMR086W,193
YMR089C,265
YMR090W,NA
YMR091C,156
YMR092C,433
YMR093W,224
YMR095C,596
YMR097C,NA
YMR098C,NA
YMR102C,46
YMR104C,65
YMR105C,91
YMR106C,NA
YMR108W,3326
YMR109W,325
YMR110C,NA
YMR111C,NA
YMR112C,49
YMR113W,116
YMR114C,NA
YMR115W,NA
YMR117C,88
YMR119W,NA
YMR120C,9195
YMR121C,111
YMR122W-A,740
YMR123W,621
YMR124W,107
YMR125W,485
YMR127C,NA
YMR128W,257
YMR129W,47
YMR131C,334
YMR132C,43
YMR134W,162
YMR135C,39
YMR137C,NA
YMR138W,NA
YMR139W,87
YMR140W,75
YMR142C,2224
YMR143W,2070
YMR144W,NA
YMR145C,107
YMR148W,182
YMR149W,449
YMR152W,158
YMR153W,195
YMR157C,45
YMR159C,43
YMR160W,NA
YMR161W,96
YMR162C,69
YMR163C,NA
YMR164C,NA
YMR165C,95
YMR166C,NA
YMR167W,NA
YMR168C,48
YMR169C,NA
YMR170C,NA
YMR171C,87
YMR172W,NA
YMR173W,510
YMR174C,NA
YMR175W,NA
YMR176W,NA
YMR177W,70
YMR178W,159
YMR179W,NA
YMR182C,43
YMR183C,NA
YMR184W,55
YMR186W,9966
YMR188C,221
YMR189W,1504
YMR190C,NA
YMR192W,140
YMR193W,156
YMR194W,2037
YMR195W,93
YMR196W,62
YMR198W,NA
YMR199W,NA
YMR200W,NA
YMR201C,NA
YMR202W,NA
YMR204C,NA
YMR205C,7661
YMR207C,43
YMR208W,97
YMR209C,NA
YMR212C,155
YMR213W,NA
YMR214W,49
YMR215W,107
YMR216C,226
YMR218C,77
YMR219W,103
YMR220W,NA
YMR221C,NA
YMR222C,183
YMR223W,47
YMR224C,NA
YMR225C,NA
YMR226C,465
YMR227C,NA
YMR229C,1169
YMR230W,2427
YMR231W,111
YMR232W,NA
YMR233W,51
YMR234W,NA
YMR235C,802
YMR236W,377
YMR237W,219
YMR238W,330
YMR239C,140
YMR240C,NA
YMR241W,719
YMR242C,3209
YMR243C,NA
YMR244C-A,172
YMR246W,1227
YMR250W,NA
YMR251W-A,2266
YMR252C,NA
YMR253C,117
YMR255W,201
YMR256C,321
YMR257C,NA
YMR258C,NA
YMR259C,193
YMR260C,1074
YMR261C,281
YMR263W,97
YMR264W,NA
YMR266W,321
YMR267W,NA
YMR268C,NA
YMR269W,141
YMR270C,NA
YMR271C,NA
YMR272C,77
YMR273C,52
YMR275C,100
YMR276W,90
YMR277W,126
YMR278W,51
YMR280C,NA
YMR281W,NA
YMR282C,NA
YMR283C,NA
YMR284W,NA
YMR285C,42
YMR286W,NA
YMR287C,49
YMR288W,52
YMR289W,NA
YMR291W,355
YMR292W,225
YMR293C,NA
YMR295C,616
YMR296C,364
YMR297W,NA
YMR299C,NA
YMR300C,1033
YMR301C,63
YMR302C,75
YMR303C,NA
YMR304W,185
YMR305C,NA
YMR307W,1855
YMR308C,574
YMR309C,1628
YMR310C,NA
YMR311C,391
YMR313C,103
YMR314W,1187
YMR315W,109
YMR318C,440
YMR319C,NA
YNL001W,250
YNL003C,NA
YNL004W,287
YNL005C,232
YNL006W,NA
YNL007C,1584
YNL008C,NA
YNL010W,682
YNL015W,280
YNL016W,1345
YNL020C,NA
YNL021W,89
YNL022C,NA
YNL024C,NA
YNL025C,NA
YNL027W,120
YNL030W,NA
YNL031C,NA
YNL032W,120
YNL035C,95
YNL036W,2305
YNL037C,70
YNL039W,62
YNL040W,120
YNL041C,132
YNL042W,NA
YNL044W,788
YNL045W,153
YNL046W,NA
YNL048W,NA
YNL049C,159
YNL051W,74
YNL052W,182
YNL053W,NA
YNL055C,NA
YNL056W,152
YNL058C,45
YNL059C,144
YNL061W,651
YNL062C,153
YNL063W,NA
YNL064C,NA
YNL065W,227
YNL066W,NA
YNL067W,10146
YNL068C,57
YNL071W,NA
YNL072W,NA
YNL073W,42
YNL074C,NA
YNL076W,40
YNL077W,NA
YNL078W,47
YNL081C,133
YNL082W,NA
YNL083W,52
YNL084C,182
YNL085W,104
YNL086W,NA
YNL087W,354
YNL088W,170
YNL090W,184
YNL091W,167
YNL094W,NA
YNL095C,NA
YNL096C,3347
YNL097C,66
YNL098C,1102
YNL099C,47
YNL100W,162
YNL102W,83
YNL103W,73
YNL104C,2260
YNL106C,74
YNL107W,NA
YNL108C,185
YNL110C,559
YNL111C,199
YNL112W,2221
YNL113W,935
YNL115C,NA
YNL116W,NA
YNL118C,413
YNL119W,70
YNL121C,238
YNL122C,67
YNL123W,196
YNL124W,103
YNL125C,440
YNL126W,55
YNL127W,83
YNL129W,150
YNL130C,244
YNL131W,NA
YNL132W,75
YNL133C,41
YNL134C,195
YNL135C,1375
YNL136W,NA
YNL137C,47
YNL138W,267
YNL139C,178
YNL141W,413
YNL142W,NA
YNL143C,89
YNL146W,55
YNL147W,326
YNL148C,NA
YNL149C,361
YNL152W,NA
YNL153C,405
YNL154C,261
YNL155W,106
YNL156C,247
YNL157W,138
YNL158W,223
YNL161W,172
YNL162W,2282
YNL162W-A,NA
YNL163C,NA
YNL164C,NA
YNL166C,117
YNL167C,NA
YNL168C,114
YNL169C,58
YNL172W,41
YNL173C,195
YNL175C,279
YNL176C,NA
YNL177C,97
YNL180C,570
YNL181W,79
YNL183C,343
YNL185C,145
YNL186W,281
YNL189W,678
YNL190W,52
YNL191W,64
YNL194C,NA
YNL197C,274
YNL198C,NA
YNL200C,NA
YNL201C,130
YNL206C,61
YNL207W,231
YNL209W,4810
YNL211C,NA
YNL212W,232
YNL213C,NA
YNL214W,66
YNL215W,64
YNL216W,NA
YNL217W,NA
YNL218W,NA
YNL219C,243
YNL220W,1600
YNL221C,44
YNL223W,NA
YNL224C,81
YNL225C,40
YNL227C,60
YNL229C,204
YNL230C,NA
YNL231C,574
YNL232W,333
YNL233W,75
YNL234W,NA
YNL236W,172
YNL238W,209
YNL239W,380
