ORF,Protein Molecules/Cell
YDR286C,-
YDR287W,-
YDR288W,2.54E+03
YDR289C,3.93E+03
YDR290W,-
YDR291W,2.59E+02
YDR292C,2.00E+03
YDR293C,1.10E+03
YDR294C,1.31E+04
YDR295C,1.50E+03
YDR296W,2.61E+03
YDR297W,5.43E+04
YDR298C,3.24E+04
YDR299W,1.54E+04
YDR300C,1.04E+04
YDR301W,6.39E+02
YDR302W,#
YDR303C,1.75E+03
YDR304C,-
YDR305C,1.92E+03
YDR306C,-
YDR307W,#
YDR308C,1.39E+03
YDR309C,1.13E+03
YDR310C,1.49E+02
YDR311W,5.15E+03
YDR312W,1.35E+03
YDR313C,1.95E+02
YDR314C,7.86E+01
YDR315C,-
YDR316W,5.04E+02
YDR317W,-
YDR318W,9.52E+02
YDR319C,%
YDR320C,7.68E+02
YDR320C-A,9.67E+02
YDR321W,-
YDR322C-A,4.59E+03
YDR322W,7.70E+03
YDR323C,7.68E+02
YDR324C,5.44E+03
YDR325W,1.92E+03
YDR326C,%
YDR327W,-
YDR328C,-
YDR329C,1.40E+03
YDR330W,6.63E+03
YDR331W,1.56E+03
YDR332W,1.72E+02
YDR333C,3.39E+02
YDR334W,6.56E+02
YDR335W,3.50E+03
YDR336W,-
YDR337W,6.96E+03
YDR338C,1.95E+02
YDR339C,-
YDR340W,-
YDR341C,2.06E+04
YDR342C,7.35E+03
YDR343C,-
YDR344C,-
YDR345C,3.72E+04
YDR346C,4.52E+04
YDR347W,2.84E+03
YDR348C,1.48E+03
YDR349C,1.49E+02
YDR350C,-
YDR351W,-
YDR352W,6.35E+03
YDR353W,2.92E+05
YDR354W,1.76E+03
YDR355C,-
YDR356W,2.79E+02
YDR357C,5.89E+02
YDR358W,6.56E+02
YDR359C,-
YDR360W,-
YDR361C,4.59E+03
YDR362C,1.13E+03
YDR363W,1.89E+03
YDR363W-A,5.59E+03
YDR364C,1.63E+03
YDR365C,6.56E+02
YDR366C,-
YDR367W,3.42E+03
YDR368W,1.41E+04
YDR369C,3.58E+02
YDR370C,1.04E+03
YDR371W,3.05E+03
YDR372C,1.85E+03
YDR373W,7.16E+03
YDR374C,-
YDR375C,1.99E+03
YDR376W,1.60E+03
YDR377W,1.46E+04
YDR378C,-
YDR379C-A,8.61E+02
YDR379W,2.54E+02
YDR380W,6.56E+03
YDR381W,-
YDR382W,6.02E+05
YDR383C,-
YDR384C,#
YDR385W,7.81E+04
YDR386W,3.00E+02
YDR387C,-
YDR388W,1.46E+04
YDR389W,1.42E+03
YDR390C,1.88E+04
YDR391C,6.02E+03
YDR392W,1.71E+03
YDR393W,2.79E+02
YDR394W,-
YDR395W,1.63E+04
YDR396W,-
YDR397C,2.95E+03
YDR398W,3.31E+04
YDR399W,3.65E+04
YDR400W,#
YDR401W,-
YDR402C,-
YDR403W,-
YDR404C,6.42E+03
YDR405W,2.17E+03
YDR406W,-
YDR407C,2.59E+02
YDR408C,3.91E+03
YDR409W,1.49E+02
YDR410C,2.69E+03
YDR411C,#
YDR412W,2.95E+03
YDR413C,-
YDR414C,-
YDR415C,-
YDR416W,2.17E+03
YDR417C,-
YDR418W,5.03E+04
YDR419W,1.86E+03
YDR420W,#
YDR421W,3.19E+02
YDR422C,6.23E+02
YDR423C,6.23E+02
YDR424C,1.31E+03
YDR425W,1.80E+03
YDR426C,-
YDR427W,1.24E+04
YDR428C,-
YDR429C,-
YDR430C,6.14E+03
YDR431W,-
YDR432W,7.87E+04
YDR433W,-
YDR434W,7.52E+03
YDR435C,-
YDR436W,1.89E+02
YDR437W,7.52E+02
YDR438W,-
YDR439W,1.39E+03
YDR440W,2.16E+03
YDR441C,9.37E+02
YDR442W,-
YDR443C,%
YDR444W,2.07E+03
YDR445C,-
YDR446W,-
YDR447C,3.05E+04
YDR448W,1.72E+03
YDR449C,7.52E+03
YDR450W,4.81E+04
YDR451C,%
YDR452W,3.19E+02
YDR453C,4.82E+03
YDR454C,2.05E+04
YDR455C,-
YDR456W,5.21E+02
YDR457W,3.58E+02
YDR458C,1.25E+03
YDR459C,-
YDR460W,3.05E+03
YDR461W,2.89E+04
YDR462W,6.28E+03
YDR463W,1.31E+03
YDR464W,-
YDR465C,1.60E+03
YDR466W,-
YDR467C,-
YDR468C,-
YDR469W,9.37E+02
YDR470C,-
YDR471W,2.29E+04
YDR472W,8.35E+03
YDR473C,4.32E+02
YDR474C,2.13E+03
YDR475C,-
YDR476C,2.12E+03
YDR477W,5.89E+02
YDR478W,1.72E+02
YDR479C,5.04E+03
YDR480W,1.31E+03
YDR481C,3.06E+03
YDR482C,5.56E+02
YDR483W,1.30E+04
YDR484W,3.13E+03
YDR485C,3.58E+02
YDR486C,2.11E+03
YDR487C,5.46E+03
YDR488C,7.52E+02
YDR489W,-
YDR490C,-
YDR491C,-
YDR492W,#
YDR493W,2.79E+02
YDR494W,-
YDR495C,2.27E+03
YDR496C,2.15E+04
YDR497C,#
YDR498C,4.91E+03
YDR499W,6.06E+02
YDR500C,1.97E+04
YDR501W,-
YDR502C,2.20E+04
YDR503C,3.00E+02
YDR504C,-
YDR505C,2.59E+02
YDR506C,5.89E+02
YDR507C,7.36E+02
YDR508C,1.06E+04
YDR509W,-
YDR510W,2.94E+03
YDR511W,1.95E+02
YDR512C,-
YDR513W,3.14E+04
YDR514C,1.25E+02
YDR515W,8.61E+02
YDR516C,1.06E+04
YDR517W,2.73E+03
YDR518W,-
YDR519W,5.40E+03
YDR520C,9.37E+02
YDR521W,-
YDR522C,2.38E+02
YDR523C,-
YDR524C,3.96E+02
YDR525W,-
YDR525W-A,2.04E+04
YDR526C,-
YDR527W,6.88E+02
YDR528W,2.59E+02
YDR529C,1.01E+04
YDR530C,1.77E+03
YDR531W,6.19E+03
YDR532C,3.77E+02
YDR533C,3.58E+02
YDR534C,-
YDR535C,-
YDR536W,-
YDR537C,-
YDR538W,1.75E+03
YDR539W,8.61E+02
YDR540C,1.72E+02
YDR541C,-
YDR542W,-
YDR543C,-
YDR544C,-
YDR545W,-
YEL001C,7.11E+03
YEL002C,1.49E+04
YEL003W,1.66E+03
YEL004W,-
YEL005C,%
YEL006W,1.63E+03
YEL007W,1.71E+03
YEL008W,%
YEL009C,%
YEL010W,-
YEL011W,1.23E+03
YEL012W,1.59E+03
YEL013W,5.68E+03
YEL014C,-
YEL015W,2.34E+03
YEL016C,%
YEL017C-A,7.47E+04
YEL017W,1.30E+03
YEL018W,9.37E+02
YEL019C,2.80E+03
YEL020C,-
YEL020W-A,-
YEL021W,-
YEL022W,7.70E+03
YEL023C,-
YEL024W,-
YEL025C,-
YEL026W,-
YEL027W,8.45E+03
YEL028W,-
YEL029C,%
YEL030W,-
YEL031W,1.87E+03
YEL032W,3.51E+04
YEL033W,-
YEL034W,-
YEL035C,-
YEL036C,-
YEL037C,1.09E+04
YEL038W,2.85E+03
YEL039C,1.31E+03
YEL040W,#
YEL041W,3.00E+02
YEL042W,8.68E+03
YEL043W,1.49E+02
YEL044W,1.72E+03
YEL045C,-
YEL046C,1.06E+05
YEL047C,7.62E+03
YEL048C,8.66E+03
YEL049W,-
YEL050C,1.58E+03
YEL051W,8.50E+03
YEL052W,3.57E+03
YEL053C,1.97E+03
YEL054C,6.85E+04
YEL055C,4.49E+03
YEL056W,-
YEL057C,-
YEL058W,1.47E+04
YEL059C-A,3.58E+02
YEL059W,-
YEL060C,1.60E+03
YEL061C,2.38E+02
YEL062W,3.19E+02
YEL063C,#
YEL064C,-
YEL065W,-
YEL066W,1.16E+03
YEL067C,-
YEL068C,9.52E+02
YEL069C,-
YEL070W,1.25E+02
YEL071W,1.30E+04
YEL072W,-
YEL073C,-
YEL074W,-
YEL075C,-
YEL076C,-
YEL076C-A,-
YEL076W-C,-
YEL077C,-
YER001W,1.78E+03
YER002W,2.86E+03
YER003C,5.22E+03
YER004W,1.34E+03
YER005W,4.50E+02
YER006W,7.13E+03
YER007C-A,4.22E+03
YER007W,2.14E+03
YER008C,3.77E+02
YER009W,-
YER010C,8.46E+02
YER011W,6.23E+02
YER012W,2.18E+04
YER013W,9.07E+02
YER014C-A,-
YER014W,5.35E+03
YER015W,3.58E+02
YER016W,3.63E+03
YER017C,3.87E+03
YER018C,3.28E+03
YER019C-A,4.14E+02
YER019W,2.17E+03
YER020W,4.57E+03
YER021W,1.67E+04
YER022W,3.65E+03
YER023W,4.35E+04
YER024W,3.19E+02
YER025W,2.08E+04
YER026C,%
YER027C,3.59E+03
YER028C,-
YER029C,8.61E+02
YER030W,6.23E+02
YER031C,5.96E+03
YER032W,%
YER033C,-
YER034W,1.10E+03
YER035W,5.38E+02
YER036C,1.76E+04
YER037W,1.95E+02
YER038C,%
YER039C,-
YER039C-A,9.89E+01
YER040W,5.89E+02
YER041W,1.31E+02
YER042W,3.07E+03
YER043C,-
YER044C,3.77E+02
YER044C-A,-
YER045C,-
YER046W,-
YER047C,3.00E+02
YER048C,-
YER048W-A,2.44E+03
YER049W,8.91E+03
YER050C,1.21E+03
YER051W,7.84E+02
YER052C,4.81E+04
YER053C,-
YER053C-A,2.36E+03
YER054C,1.25E+02
YER055C,-
YER056C,#
YER056C-A,2.36E+04
YER057C,6.72E+02
YER058W,-
YER059W,1.24E+03
YER060W,-
YER060w-A,-
YER061C,1.66E+03
YER062C,5.00E+03
YER063W,6.58E+03
YER064C,1.73E+03
YER065C,-
YER066C-A,-
YER066W,-
YER067W,8.45E+03
YER068W,4.28E+03
YER069W,1.18E+03
YER070W,2.93E+05
YER071C,7.99E+02
YER072W,1.21E+04
YER073W,2.33E+04
YER074W,-
YER075C,7.68E+02
YER076C,-
YER077C,4.32E+02
YER078C,5.08E+03
YER079W,1.89E+03
YER080W,8.20E+03
YER081W,7.67E+03
YER082C,5.80E+03
YER083C,-
YER084W,3.00E+02
YER085C,-
YER086W,1.19E+04
YER087C-A,2.17E+02
YER087W,4.77E+02
YER088C,2.12E+03
YER089C,1.26E+04
YER090W,6.51E+03
YER091C,2.64E+05
YER091C-A,-
YER092W,2.28E+03
YER093C,-
YER093C-A,1.84E+03
YER094C,-
YER095W,6.96E+03
YER096W,-
YER097W,-
YER098W,9.89E+01
YER099C,8.12E+03
YER100W,1.90E+03
YER101C,9.37E+02
YER102W,1.44E+04
YER103W,1.79E+04
YER104W,2.59E+02
YER105C,4.42E+03
YER106W,-
YER107C,1.82E+03
YER109C,-
YER110C,3.83E+04
YER111C,5.89E+02
YER112W,3.44E+03
YER113C,%
YER114C,6.88E+02
YER115C,-
YER116C,#
YER117W,-
YER118C,2.33E+03
YER119C,-
YER119C-A,-
YER120W,3.50E+03
YER121W,-
YER122C,1.51E+03
YER123W,1.32E+03
YER124C,3.08E+03
YER125W,-
YER126C,8.66E+03
YER127W,1.43E+03
YER128W,9.67E+02
YER129W,7.52E+02
YER130C,-
YER131W,5.03E+05
YER132C,8.15E+02
YER133W,1.46E+04
YER134C,6.19E+03
YER135C,-
YER136W,7.28E+03
YER137C,-
YER139C,5.48E+03
YER140W,-
YER141W,#
YER142C,#
YER143W,6.51E+03
YER144C,3.00E+02
YER145C,8.37E+03
YER146W,-
YER147C,9.07E+02
YER148W,%
YER149C,7.82E+03
YER150W,-
YER151C,2.21E+03
YER152C,1.39E+03
YER153C,4.68E+02
YER154W,6.55E+03
YER155C,1.23E+03
YER156C,6.08E+03
YER157W,4.14E+03
YER158C,7.84E+02
YER159C,5.13E+03
YER161C,1.24E+03
YER162C,8.76E+02
YER163C,1.30E+03
YER164W,1.62E+03
YER165W,1.98E+05
YER166W,%
YER167W,-
YER168C,1.35E+04
YER169W,2.23E+03
YER170W,7.04E+02
YER171W,1.44E+04
YER172C,1.44E+03
YER173W,7.52E+02
YER174C,7.80E+03
YER175C,9.37E+02
YER176W,7.36E+02
YER177W,1.58E+05
YER178W,1.00E+05
YER179W,-
YER180C,-
YER181C,-
YER182W,1.92E+03
YER183C,4.68E+02
YER184C,-
YER185W,-
YER186C,-
YER187W,-
YER187W-A,-
YER188W,%
YER189W,-
YER190W,-
YFL001W,5.86E+03
YFL002C,5.74E+03
YFL003C,-
YFL004W,2.91E+03
YFL005W,-
YFL006W,1.50E+03
YFL007W,2.60E+03
YFL008W,5.71E+03
YFL009W,-
YFL010C,6.02E+03
YFL010W-A,-
YFL011W,-
YFL012W,-
YFL013C,1.39E+03
YFL013W-A,-
YFL014W,4.49E+03
YFL015C,-
YFL016C,7.57E+03
YFL017C,2.55E+03
YFL017W-A,1.40E+03
YFL018C,2.46E+04
YFL019C,-
YFL020C,-
YFL021W,1.18E+03
YFL022C,-
YFL023W,1.30E+03
YFL024C,1.11E+03
YFL025C,#
YFL026W,#
YFL027C,5.73E+02
YFL028C,1.62E+03
YFL029C,#
YFL030W,3.39E+02
YFL031W,8.97E+03
YFL032W,-
YFL033C,%
YFL034C-A,7.47E+04
YFL034C-B,2.25E+03
YFL034W,1.11E+03
YFL036W,-
YFL037W,-
YFL038C,-
YFL039C,-
YFL040W,-
YFL041W,2.84E+03
YFL042C,-
YFL043C,-
YFL044C,2.77E+03
YFL045C,3.50E+03
YFL046W,%
YFL047W,1.75E+03
YFL048C,2.90E+03
YFL049W,3.18E+03
YFL050C,2.13E+03
YFL051C,-
YFL052W,-
YFL053W,%
YFL054C,-
YFL055W,-
YFL056C,-
YFL057C,-
YFL058W,-
YFL059W,-
YFL060C,1.95E+02
YFL061W,-
YFL062W,#
YFL063W,-
YFL064C,-
YFL065C,-
YFL066C,-
YFL067W,-
YFL068W,-
YFR001W,3.65E+03
YFR002W,1.55E+04
YFR003C,1.08E+03
YFR004W,1.64E+04
YFR005C,1.67E+02
YFR006W,-
YFR007W,1.61E+02
YFR008W,4.86E+02
YFR009W,1.46E+04
YFR010W,6.77E+03
YFR011C,3.55E+03
YFR012W,-
YFR012W-A,-
YFR013W,1.77E+03
YFR014C,1.52E+03
YFR015C,6.30E+03
YFR016C,7.04E+02
YFR017C,6.39E+02
YFR018C,3.97E+03
YFR019W,1.49E+02
YFR020W,-
YFR021W,1.56E+03
YFR022W,-
YFR023W,-
YFR024C,1.80E+04
YFR024C-A,3.67E+03
YFR025C,4.28E+03
YFR026C,7.21E+02
YFR027W,-
YFR028C,8.55E+03
YFR029W,-
YFR030W,1.58E+03
YFR031C,3.29E+03
YFR031C-A,#
YFR032C,-
YFR032C-A,5.11E+04
YFR033C,4.49E+03
YFR034C,-
YFR035C,-
YFR036W,%
YFR037C,3.38E+03
YFR038W,-
YFR039C,3.17E+03
YFR040W,5.96E+03
YFR041C,-
YFR042W,-
YFR043C,%
YFR044C,2.23E+04
YFR045W,-
YFR046C,1.30E+03
YFR047C,2.66E+03
YFR048W,6.56E+02
YFR049W,2.05E+03
YFR050C,1.69E+04
YFR051C,1.80E+04
YFR052W,9.89E+03
YFR053C,4.08E+04
YFR054C,3.00E+02
YFR055W,2.61E+03
YFR056C,-
YFR057W,-
YGL001C,2.58E+03
YGL002W,-
YGL003C,-
YGL004C,2.21E+03
YGL005C,1.36E+03
YGL006W,9.89E+01
YGL007W,-
YGL008C,1.26E+06
YGL009C,9.63E+04
YGL010W,4.86E+02
YGL011C,1.52E+04
YGL012W,1.64E+03
YGL013C,1.30E+03
YGL014W,7.21E+02
YGL015C,-
YGL016W,9.76E+03
YGL017W,2.03E+03
YGL018C,2.01E+03
YGL019W,8.12E+03
YGL020C,2.25E+03
YGL021W,2.19E+03
YGL022W,3.00E+03
YGL023C,-
YGL024W,-
YGL025C,5.56E+02
YGL026C,1.55E+04
YGL027C,2.84E+03
YGL028C,2.26E+04
YGL029W,2.34E+03
YGL030W,5.93E+04
YGL031C,2.47E+05
YGL032C,1.16E+03
YGL033W,-
YGL034C,-
YGL035C,8.30E+02
YGL036W,4.86E+02
YGL037C,7.72E+03
YGL038C,9.49E+03
YGL039W,2.34E+03
YGL040C,1.16E+04
YGL041C,-
YGL042C,-
YGL043W,6.26E+03
YGL044C,6.35E+03
YGL045W,7.84E+02
YGL046W,3.04E+03
YGL047W,1.95E+03
YGL048C,4.70E+03
YGL049C,3.39E+03
YGL050W,3.39E+03
YGL051W,-
YGL052W,-
YGL053W,1.25E+03
YGL054C,7.11E+03
YGL055W,#
YGL056C,2.12E+04
YGL057C,%
YGL058W,2.77E+03
YGL059W,4.50E+02
YGL060W,3.87E+03
YGL061C,9.96E+02
YGL062W,1.25E+04
YGL063W,-
YGL064C,7.36E+02
YGL065C,1.84E+03
YGL066W,4.86E+02
YGL067W,8.46E+02
YGL068W,6.94E+03
YGL069C,-
YGL070C,2.44E+03
YGL071W,2.73E+03
YGL072C,-
YGL073W,-
YGL074C,-
YGL075C,-
YGL076C,1.01E+05
YGL077C,#
YGL078C,3.89E+04
YGL079W,1.63E+03
YGL080W,3.96E+02
YGL081W,-
YGL082W,7.62E+03
YGL083W,1.48E+03
YGL084C,6.72E+02
YGL085W,7.04E+02
YGL086W,6.56E+02
YGL087C,2.76E+03
YGL088W,-
YGL089C,-
YGL090W,8.76E+02
YGL091C,-
YGL092W,4.63E+03
YGL093W,-
YGL094C,1.51E+03
YGL095C,5.66E+03
YGL096W,-
YGL097W,1.21E+04
YGL098W,9.37E+02
YGL099W,1.94E+04
YGL100W,9.52E+02
YGL101W,1.50E+03
YGL102C,-
YGL103W,-
YGL104C,-
YGL105W,5.77E+04
YGL106W,-
YGL107C,4.80E+03
YGL108C,2.43E+03
YGL109W,-
YGL110C,6.30E+03
YGL111W,2.74E+03
YGL112C,6.51E+03
YGL113W,1.25E+02
YGL114W,-
YGL115W,1.17E+04
YGL116W,-
YGL117W,1.49E+02
YGL118C,-
YGL119W,9.52E+02
YGL120C,1.69E+04
YGL121C,-
YGL122C,9.67E+03
YGL123W,-
YGL124C,%
YGL125W,8.60E+03
YGL126W,5.38E+02
YGL127C,4.68E+02
YGL128C,%
YGL129C,1.30E+03
YGL130W,2.79E+02
YGL131C,#
YGL132W,-
YGL133W,2.61E+03
YGL134W,2.17E+02
YGL135W,2.65E+05
YGL136C,-
YGL137W,1.29E+05
YGL138C,-
YGL139W,-
YGL140C,1.08E+03
YGL141W,3.12E+03
YGL142C,-
YGL143C,4.14E+02
YGL144C,%
YGL145W,6.02E+03
YGL146C,-
YGL147C,5.24E+04
YGL148W,2.31E+03
YGL149W,-
YGL150C,6.28E+03
YGL151W,2.49E+03
YGL152C,-
YGL153W,2.57E+03
YGL154C,6.23E+02
YGL155W,3.94E+03
YGL156W,3.19E+02
YGL157W,2.95E+03
YGL158W,-
YGL159W,1.72E+02
YGL160W,-
YGL161C,9.37E+02
YGL162W,1.10E+03
YGL163C,%
YGL164C,3.67E+03
YGL165C,-
YGL166W,1.76E+03
YGL167C,6.90E+03
YGL168W,-
YGL169W,5.38E+02
YGL170C,-
YGL171W,-
YGL172W,4.76E+03
YGL173C,1.17E+04
YGL174W,-
YGL175C,1.03E+03
YGL176C,-
YGL177W,-
YGL178W,1.24E+03
YGL179C,-
YGL180W,1.07E+03
YGL181W,9.37E+02
YGL182C,-
YGL183C,-
YGL184C,%
YGL185C,1.43E+03
YGL186C,-
YGL187C,9.41E+03
YGL188C,-
YGL189C,1.63E+04
YGL190C,8.60E+03
YGL191W,-
YGL192W,-
YGL193C,-
YGL194C,4.89E+03
YGL195W,7.33E+03
YGL196W,-
YGL197W,3.96E+02
YGL198W,-
YGL199C,-
YGL200C,2.68E+04
YGL201C,1.34E+04
YGL202W,1.77E+03
YGL203C,8.55E+03
YGL204C,-
YGL205W,-
YGL206C,2.87E+04
YGL207W,1.85E+04
YGL208W,3.00E+02
YGL209W,5.04E+02
YGL210W,4.30E+03
YGL211W,%
YGL212W,2.36E+03
YGL213C,1.71E+03
YGL214W,-
YGL215W,-
YGL216W,7.36E+02
YGL217C,-
YGL218W,-
YGL219C,3.77E+02
YGL220W,2.05E+03
YGL221C,6.00E+03
YGL222C,-
YGL223C,2.19E+03
YGL224C,-
YGL225W,3.19E+04
YGL226C-A,1.01E+03
YGL226W,1.17E+03
YGL227W,1.50E+03
YGL228W,8.64E+03
YGL229C,2.79E+02
YGL230C,-
YGL231C,1.32E+03
YGL232W,2.63E+03
YGL233W,4.28E+03
YGL234W,3.58E+04
YGL235W,-
YGL236C,-
YGL237C,%
YGL238W,2.35E+04
YGL239C,-
YGL240W,1.36E+03
YGL241W,2.94E+03
YGL242C,-
YGL243W,-
YGL244W,6.51E+03
YGL245W,4.87E+04
YGL246C,4.03E+03
YGL247W,1.25E+02
YGL248W,1.40E+03
YGL249W,-
YGL250W,1.82E+03
YGL251C,-
YGL252C,3.26E+03
YGL253W,1.14E+05
YGL254W,2.12E+03
YGL255W,#
YGL256W,1.25E+02
YGL257C,1.17E+03
YGL258W,-
YGL258W-A,-
YGL259W,-
YGL260W,-
YGL261C,-
YGL262W,-
YGL263W,-
YGR001C,3.06E+03
YGR002C,2.23E+03
YGR003W,1.72E+02
YGR004W,2.38E+02
YGR005C,5.20E+02
YGR006W,-
YGR007W,4.70E+03
YGR008C,5.33E+03
YGR009C,-
YGR010W,1.43E+03
YGR011W,-
YGR012W,4.65E+03
YGR013W,7.82E+02
YGR014W,1.32E+03
YGR015C,-
YGR016W,2.38E+02
YGR017W,2.84E+03
YGR018C,-
YGR019W,5.73E+02
YGR020C,4.05E+03
YGR021W,1.78E+03
YGR022C,-
YGR023W,%
YGR024C,1.17E+03
YGR025W,-
YGR026W,#
YGR027C,3.22E+05
YGR028W,3.53E+03
YGR029W,-
YGR030C,3.18E+03
YGR031W,7.40E+03
YGR032W,#
YGR033C,3.77E+03
YGR034W,3.32E+04
YGR035C,-
YGR036C,#
YGR037C,8.50E+03
YGR038W,2.80E+03
YGR039W,-
YGR040W,5.48E+03
YGR041W,9.52E+02
YGR042W,%
YGR043C,1.92E+03
YGR044C,-
YGR045C,-
YGR046W,1.95E+02
YGR047C,8.76E+02
YGR048W,3.53E+03
YGR049W,3.21E+03
YGR050C,-
YGR051C,-
YGR052W,3.39E+02
YGR053C,-
YGR054W,-
YGR055W,#
YGR056W,2.59E+02
YGR057C,6.56E+02
YGR058W,1.63E+03
YGR059W,-
YGR060W,7.71E+04
YGR061C,4.08E+04
YGR062C,4.68E+02
YGR063C,4.49E+03
YGR064W,-
YGR065C,%
YGR066C,-
YGR067C,-
YGR068C,1.97E+03
YGR069W,-
YGR070W,-
YGR071C,1.05E+03
YGR072W,1.25E+03
YGR073C,-
YGR074W,2.40E+03
YGR075C,2.38E+03
YGR076C,1.55E+03
YGR077C,5.38E+02
YGR078C,6.55E+03
YGR079W,-
YGR080W,1.47E+03
YGR081C,3.67E+03
YGR082W,5.68E+03
YGR083C,1.03E+04
YGR084C,1.60E+04
YGR085C,2.12E+04
YGR086C,1.15E+05
YGR087C,1.52E+03
YGR088W,3.19E+02
YGR089W,9.96E+02
YGR090W,3.26E+03
YGR091W,1.26E+03
YGR092W,3.50E+03
YGR093W,1.27E+03
YGR094W,3.58E+02
YGR095C,1.08E+04
YGR096W,-
YGR097W,%
YGR098C,%
YGR099W,6.38E+02
YGR100W,7.68E+02
YGR101W,#
YGR102C,1.72E+02
YGR103W,4.53E+03
YGR104C,1.01E+03
YGR105W,1.48E+03
YGR106C,1.28E+04
YGR107W,-
YGR108W,3.00E+02
YGR109C,-
YGR110W,-
YGR111W,7.68E+02
YGR112W,6.23E+02
YGR113W,-
YGR114C,-
YGR115C,-
YGR116W,8.89E+03
YGR117C,1.28E+03
YGR118W,1.06E+04
YGR119C,9.31E+03
YGR120C,3.27E+03
YGR121C,#
YGR122C-A,-
YGR122W,#
YGR123C,6.99E+03
YGR124W,5.82E+04
YGR125W,1.42E+03
YGR126W,-
YGR127W,-
YGR128C,1.68E+04
YGR129W,2.46E+03
YGR130C,1.03E+04
YGR131W,-
YGR132C,9.69E+03
YGR133W,%
YGR134W,1.32E+03
YGR135W,1.71E+04
YGR136W,-
YGR137W,-
YGR138C,-
YGR139W,-
YGR140W,1.35E+03
YGR141W,6.23E+02
YGR142W,#
YGR143W,4.68E+02
YGR144W,-
YGR145W,-
YGR146C,5.89E+02
YGR147C,1.24E+03
YGR148C,3.69E+04
YGR149W,#
YGR150C,8.76E+02
YGR151C,-
YGR152C,%
YGR153W,-
YGR154C,-
YGR155W,4.19E+04
YGR156W,9.37E+02
YGR157W,1.81E+03
YGR158C,7.38E+03
YGR159C,7.74E+04
YGR160W,-
YGR161C,2.10E+03
YGR162W,9.76E+03
YGR163W,2.61E+03
YGR164W,-
YGR165W,3.46E+03
YGR166W,1.66E+03
YGR167W,3.49E+03
YGR168C,-
YGR169C,3.77E+02
YGR170W,-
YGR171C,3.12E+03
YGR172C,-
YGR173W,6.20E+03
YGR174C,7.04E+02
YGR175C,6.54E+04
YGR176W,-
YGR177C,3.00E+03
YGR178C,2.87E+03
YGR179C,2.69E+03
YGR180C,8.89E+04
YGR181W,-
YGR182C,-
YGR183C,4.55E+03
YGR184C,-
YGR185C,2.71E+03
YGR186W,1.92E+03
YGR187C,2.08E+04
YGR188C,4.14E+02
YGR189C,2.95E+04
YGR190C,-
YGR191W,6.88E+02
YGR192C,1.69E+05
YGR193C,4.14E+02
YGR194C,3.46E+03
YGR195W,5.15E+03
YGR196C,%
YGR197C,-
YGR198W,1.64E+03
YGR199W,-
YGR200C,6.09E+03
YGR201C,%
YGR202C,3.05E+03
YGR203W,2.31E+03
YGR204W,3.56E+04
YGR205W,4.28E+03
YGR206W,7.52E+02
YGR207C,2.40E+03
YGR208W,1.38E+04
YGR209C,1.72E+04
YGR210C,1.16E+04
YGR211W,3.99E+04
YGR212W,-
YGR213C,-
YGR214W,9.37E+04
YGR215W,-
YGR216C,-
YGR217W,-
YGR218W,7.08E+03
YGR219W,-
YGR220C,3.19E+03
YGR221C,5.69E+01
YGR222W,7.99E+02
YGR223C,-
YGR224W,-
YGR225W,-
YGR226C,-
YGR227W,-
YGR228W,-
YGR229C,5.68E+03
YGR230W,-
YGR231C,2.85E+03
YGR232W,3.19E+02
YGR233C,2.93E+03
YGR234W,1.30E+04
YGR235C,5.22E+03
YGR236C,-
YGR237C,1.05E+03
YGR238C,4.68E+02
YGR239C,-
YGR240C,8.98E+04
YGR241C,6.80E+03
YGR242W,-
YGR243W,6.75E+03
YGR244C,-
YGR245C,3.64E+03
YGR246C,4.33E+03
YGR247W,1.52E+03
YGR248W,4.32E+03
YGR249W,-
YGR250C,1.91E+03
YGR251W,1.46E+03
YGR252W,1.18E+03
YGR253C,1.71E+04
YGR254W,7.67E+04
YGR255C,2.94E+03
YGR256W,5.56E+02
YGR257C,5.38E+02
YGR258C,8.46E+02
YGR259C,-
YGR260W,#
YGR261C,3.57E+03
YGR262C,3.02E+03
YGR263C,#
YGR264C,8.50E+04
YGR265W,-
YGR266W,3.23E+03
YGR267C,2.84E+03
YGR268C,-
YGR269W,2.79E+02
YGR270W,1.72E+02
YGR271C-A,2.84E+03
YGR271W,4.86E+02
YGR272C,-
YGR273C,-
YGR274C,1.50E+03
YGR275W,1.55E+03
YGR276C,-
YGR277C,3.61E+03
YGR278W,3.26E+03
YGR279C,6.19E+03
YGR280C,3.85E+03
YGR281W,3.61E+03
YGR282C,4.50E+04
YGR283C,2.82E+03
YGR284C,#
YGR285C,8.64E+04
YGR286C,5.04E+02
YGR287C,7.52E+02
YGR288W,-
YGR289C,-
YGR290W,-
YGR291C,-
YGR292W,5.06E+03
YGR293C,-
YGR294W,-
YGR295C,-
YGR296W,%
YHL001W,3.51E+04
YHL002W,3.58E+02
YHL003C,#
YHL004W,6.89E+03
YHL005C,-
YHL006C,-
YHL007C,2.59E+02
YHL008C,%
YHL009C,1.68E+03
YHL010C,-
YHL011C,-
YHL012W,-
YHL013C,1.72E+02
YHL014C,2.36E+03
YHL015W,-
YHL016C,-
YHL017W,1.46E+04
YHL018W,7.52E+02
YHL019C,2.89E+03
YHL020C,1.28E+03
