ORF,Protein Molecules/Cell
YBR066C,7.04E+02
YBR067C,3.56E+04
YBR068C,8.66E+03
YBR069C,5.04E+02
YBR070C,3.39E+02
YBR071W,1.20E+03
YBR072W,1.93E+04
YBR073W,1.27E+03
YBR074W,-
YBR075W,-
YBR076W,-
YBR077C,3.49E+03
YBR078W,-
YBR079C,5.27E+04
YBR080C,5.92E+03
YBR081C,2.36E+03
YBR082C,1.35E+04
YBR083W,5.30E+02
YBR084C-A,9.77E+04
YBR084W,1.14E+04
YBR085C-A,-
YBR085W,1.08E+03
YBR086C,#
YBR087W,5.04E+03
YBR088C,-
YBR089C-A,4.59E+03
YBR089W,-
YBR090C,-
YBR091C,-
YBR092C,9.52E+02
YBR093C,1.11E+03
YBR094W,1.77E+03
YBR095C,1.63E+03
YBR096W,1.95E+03
YBR097W,2.79E+02
YBR098W,-
YBR099C,-
YBR100W,%
YBR101C,1.31E+04
YBR102C,-
YBR103C-A,-
YBR103W,1.62E+03
YBR104W,1.05E+03
YBR105C,6.65E+03
YBR106W,6.18E+04
YBR107C,1.25E+02
YBR108W,-
YBR109C,-
YBR110W,1.89E+03
YBR111C,7.33E+03
YBR112C,3.89E+03
YBR113W,-
YBR114W,3.58E+02
YBR115C,7.43E+03
YBR116C,-
YBR117C,1.49E+02
YBR118W,4.50E+02
YBR119W,2.95E+03
YBR120C,2.13E+03
YBR121C,9.84E+04
YBR122C,%
YBR123C,1.58E+04
YBR124W,-
YBR125C,1.49E+02
YBR126C,1.09E+04
YBR127C,1.31E+05
YBR128C,-
YBR129C,1.56E+03
YBR130C,1.01E+03
YBR131W,2.87E+03
YBR132C,-
YBR133C,1.18E+03
YBR134W,-
YBR135W,8.78E+03
YBR136W,-
YBR137W,1.20E+03
YBR138C,1.95E+02
YBR139W,1.42E+03
YBR140C,-
YBR141C,6.23E+02
YBR142W,9.81E+02
YBR143C,1.31E+04
YBR144C,-
YBR145W,1.31E+03
YBR146W,-
YBR147W,-
YBR148W,-
YBR149W,3.02E+04
YBR150C,5.73E+02
YBR151W,2.00E+03
YBR152W,2.51E+03
YBR153W,-
YBR154C,-
YBR155W,6.72E+02
YBR156C,3.19E+02
YBR157C,-
YBR158W,2.02E+03
YBR159W,4.19E+04
YBR160W,6.67E+03
YBR161W,1.95E+02
YBR162C,1.23E+04
YBR162W-A,8.46E+02
YBR163W,1.42E+03
YBR164C,5.19E+03
YBR165W,-
YBR166C,2.18E+03
YBR167C,%
YBR168W,#
YBR169C,6.30E+03
YBR170C,1.05E+03
YBR171W,7.82E+03
YBR172C,4.86E+02
YBR173C,2.74E+03
YBR174C,-
YBR175W,#
YBR176W,1.42E+03
YBR177C,2.55E+03
YBR178W,-
YBR179C,1.01E+03
YBR180W,-
YBR181C,3.88E+04
YBR182C,-
YBR183W,-
YBR184W,-
YBR185C,2.72E+03
YBR186W,-
YBR187W,2.17E+03
YBR188C,1.43E+03
YBR189W,6.33E+04
YBR190W,-
YBR191W,-
YBR191W-A,-
YBR192W,-
YBR193C,9.37E+02
YBR194W,%
YBR195C,1.49E+02
YBR196C,9.16E+04
YBR197C,1.36E+03
YBR198C,1.48E+04
YBR199W,5.24E+03
YBR200W,6.49E+03
YBR201W,2.38E+02
YBR202W,1.66E+02
YBR203W,-
YBR204C,-
YBR205W,7.04E+02
YBR206W,-
YBR207W,4.86E+02
YBR208C,9.52E+02
YBR209W,-
YBR210W,-
YBR211C,1.63E+03
YBR212W,1.54E+03
YBR213W,-
YBR214W,2.84E+03
YBR215W,2.38E+02
YBR216C,3.06E+03
YBR217W,-
YBR218C,1.70E+04
YBR219C,-
YBR220C,-
YBR221C,9.97E+03
YBR222C,8.77E+03
YBR223C,2.13E+03
YBR224W,-
YBR225W,6.23E+02
YBR226C,-
YBR227C,1.09E+04
YBR228W,-
YBR229C,2.38E+02
YBR230C,4.75E+03
YBR231C,1.68E+03
YBR232C,-
YBR233W,1.59E+03
YBR233W-A,4.68E+02
YBR234C,#
YBR235W,%
YBR236C,-
YBR237W,3.58E+02
YBR238C,2.08E+03
YBR239C,8.55E+01
YBR240C,-
YBR241C,#
YBR242W,2.73E+03
YBR243C,-
YBR244W,2.01E+03
YBR245C,1.50E+03
YBR246W,2.64E+03
YBR247C,2.16E+04
YBR248C,1.18E+04
YBR249C,2.63E+04
YBR250W,-
YBR251W,6.68E+03
YBR252W,4.34E+03
YBR253W,2.18E+03
YBR254C,1.20E+03
YBR255W,3.96E+02
YBR256C,7.30E+03
YBR257W,-
YBR258C,1.52E+03
YBR259W,%
YBR260C,1.50E+03
YBR261C,3.06E+03
YBR262C,2.55E+03
YBR263W,1.77E+04
YBR264C,1.36E+03
YBR265W,7.70E+03
YBR266C,3.39E+02
YBR267W,8.30E+02
YBR268W,1.10E+03
YBR269C,-
YBR270C,-
YBR271W,2.17E+02
YBR272C,4.68E+02
YBR273C,2.19E+03
YBR274W,2.53E+03
YBR275C,%
YBR276C,-
YBR277C,-
YBR278W,7.84E+02
YBR279W,1.04E+03
YBR280C,-
YBR281C,1.94E+03
YBR282W,2.25E+03
YBR283C,7.04E+02
YBR284W,-
YBR285W,-
YBR286W,4.74E+03
YBR287W,6.44E+03
YBR288C,3.41E+03
YBR289W,2.17E+02
YBR290W,3.07E+03
YBR291C,-
YBR292C,-
YBR293W,-
YBR294W,-
YBR295W,-
YBR296C,-
YBR297W,-
YBR298C,-
YBR299W,4.03E+03
YBR300C,-
YBR301W,-
YBR302C,%
YCL001W,2.84E+03
YCL001W-A,-
YCL001W-B,-
YCL002C,-
YCL004W,-
YCL005W,1.49E+02
YCL007C,-
YCL008C,1.36E+03
YCL009C,1.58E+04
YCL010C,1.75E+03
YCL011C,2.54E+03
YCL014W,#
YCL016C,1.66E+03
YCL017C,5.04E+02
YCL018W,-
YCL021W-A,-
YCL022C,-
YCL023C,-
YCL024W,5.38E+02
YCL025C,2.11E+04
YCL026C-A,-
YCL027C-A,%
YCL027W,-
YCL028W,1.14E+03
YCL029C,3.00E+02
YCL030C,5.21E+02
YCL031C,2.61E+03
YCL032W,1.67E+03
YCL033C,7.99E+02
YCL034W,%
YCL035C,3.03E+03
YCL036W,-
YCL037C,8.43E+03
YCL038C,-
YCL039W,1.20E+03
YCL040W,2.11E+04
YCL041C,-
YCL042W,-
YCL043C,%
YCL044C,3.41E+03
YCL045C,2.84E+03
YCL046W,-
YCL047C,8.30E+02
YCL048W,-
YCL049C,6.56E+02
YCL050C,1.96E+04
YCL051W,-
YCL052C,4.93E+03
YCL054W,-
YCL055W,1.69E+03
YCL056C,-
YCL057W,8.91E+03
YCL058C,-
YCL059C,4.34E+03
YCL061C,7.21E+02
YCL063W,#
YCL064C,3.66E+04
YCL065W,-
YCL066W,-
YCL067C,-
YCL068C,-
YCL069W,-
YCL073C,-
YCL075W,-
YCL076W,-
YCR001W,-
YCR002C,1.41E+04
YCR003W,1.69E+03
YCR004C,1.46E+04
YCR005C,2.31E+03
YCR006C,-
YCR007C,-
YCR008W,1.03E+03
YCR009C,7.39E+03
YCR010C,-
YCR011C,3.39E+02
YCR012W,3.14E+05
YCR013C,-
YCR014C,-
YCR015C,-
YCR016W,1.85E+03
YCR017C,-
YCR018C,2.10E+03
YCR018C-A,-
YCR019W,-
YCR020C,1.95E+02
YCR020C-A,2.14E+03
YCR020W-B,3.55E+03
YCR021C,7.80E+03
YCR022C,-
YCR023C,%
YCR024C,7.84E+02
YCR024C-A,1.24E+05
YCR025C,-
YCR026C,3.42E+03
YCR027C,1.60E+03
YCR028C,-
YCR028C-A,3.06E+03
YCR030C,4.28E+03
YCR031C,2.96E+04
YCR032W,-
YCR033W,3.96E+02
YCR034W,3.51E+03
YCR035C,3.18E+03
YCR036W,1.78E+03
YCR037C,5.04E+02
YCR038C,2.11E+03
YCR038W-A,-
YCR039C,%
YCR040W,-
YCR041W,-
YCR042C,1.16E+03
YCR043C,4.24E+03
YCR044C,3.05E+03
YCR045C,-
YCR046C,4.15E+03
YCR047C,1.62E+03
YCR048W,#
YCR049C,-
YCR050C,-
YCR051W,7.84E+02
YCR052W,2.47E+03
YCR053W,2.60E+04
YCR054C,8.97E+03
YCR057C,1.67E+04
YCR059C,3.03E+03
YCR060W,1.66E+03
YCR061W,-
YCR063W,1.90E+03
YCR064C,-
YCR065W,3.58E+02
YCR066W,2.06E+02
YCR067C,%
YCR068W,3.06E+03
YCR069W,%
YCR071C,1.71E+03
YCR072C,-
YCR073C,5.69E+01
YCR073W-A,1.16E+03
YCR075C,-
YCR076C,3.58E+02
YCR077C,6.56E+02
YCR079W,4.32E+02
YCR081W,1.73E+03
YCR082W,9.81E+02
YCR083W,1.01E+03
YCR084C,5.84E+03
YCR085W,-
YCR086W,1.92E+03
YCR087C-A,3.43E+03
YCR087W,-
YCR088W,6.06E+02
YCR089W,-
YCR090C,3.97E+03
YCR091W,-
YCR092C,7.36E+02
YCR093W,4.30E+03
YCR094W,5.89E+02
YCR095C,5.37E+03
YCR096C,-
YCR097W,-
YCR097W-A,-
YCR098C,-
YCR099C,-
YCR100C,-
YCR101C,-
YCR102C,-
YCR102W-A,-
YCR104W,-
YCR105W,2.87E+03
YCR106W,-
YCR107W,-
YDL001W,9.52E+02
YDL002C,1.76E+03
YDL003W,1.04E+03
YDL004W,-
YDL005C,1.08E+04
YDL006W,1.52E+03
YDL007W,-
YDL008W,3.77E+02
YDL009C,-
YDL010W,1.64E+03
YDL011C,-
YDL012C,2.25E+03
YDL013W,-
YDL014W,-
YDL015C,2.36E+04
YDL016C,-
YDL017W,1.60E+03
YDL018C,3.19E+03
YDL019C,1.07E+03
YDL020C,%
YDL021W,2.02E+03
YDL022W,8.07E+02
YDL023C,-
YDL024C,-
YDL025C,8.61E+02
YDL026W,-
YDL027C,4.50E+02
YDL028C,%
YDL029W,6.65E+03
YDL030W,3.92E+03
YDL031W,-
YDL032W,-
YDL033C,1.51E+03
YDL034W,-
YDL035C,-
YDL036C,6.39E+02
YDL037C,-
YDL038C,-
YDL039C,-
YDL040C,7.60E+03
YDL041W,-
YDL042C,3.35E+03
YDL043C,3.46E+03
YDL044C,2.06E+03
YDL045C,#
YDL045W-A,2.59E+02
YDL046W,2.84E+03
YDL047W,3.97E+03
YDL048C,6.23E+02
YDL049C,-
YDL050C,-
YDL051W,-
YDL052C,#
YDL053C,1.56E+03
YDL054C,-
YDL055C,9.71E+04
YDL056W,5.21E+02
YDL057W,%
YDL058W,2.33E+03
YDL059C,4.68E+02
YDL060W,1.39E+03
YDL061C,5.41E+03
YDL062W,-
YDL063C,2.60E+03
YDL064W,2.60E+03
YDL065C,5.35E+03
YDL066W,-
YDL067C,3.55E+04
YDL068W,-
YDL069C,5.56E+02
YDL070W,2.93E+03
YDL071C,-
YDL072C,2.84E+03
YDL073W,-
YDL074C,2.98E+03
YDL075W,-
YDL076C,3.06E+03
YDL077C,3.19E+02
YDL078C,3.30E+03
YDL079C,-
YDL080C,2.14E+03
YDL081C,-
YDL082W,1.33E+05
YDL083C,-
YDL084W,5.17E+04
YDL085C-A,8.76E+02
YDL085W,-
YDL086W,-
YDL087C,2.27E+03
YDL088C,2.74E+03
YDL089W,6.06E+02
